,City,Country,Datetime,Latitude,Longitude,Max temperature (c),Humidity (%),Cloudiness (%),Wind Speed (mps)
249,jizan,SA,1634715539,17.3333,42.6667,33.52,38,76,3.51
250,nueva gerona,CU,1634715343,21.8833,-82.8,26.53,80,100,7.5
251,cayenne,GF,1634715541,4.9333,-52.3333,25.61,88,0,0
252,contamana,PE,1634715543,-7.3333,-75.0167,21.39,99,100,0.94
253,beaune,FR,1634715545,47.0833,4.75,14.9,87,100,4.13
254,lavrentiya,RU,1634715546,65.5833,-171,-2.11,96,100,3.43
255,angoche,MZ,1634715417,-16.2325,39.9086,26.04,72,61,6.28
256,fortuna,US,1634715548,40.5982,-124.1573,13.19,74,90,1.34
257,kapan,AM,1634715550,39.2075,46.4058,12.09,80,96,2.39
258,mattru,SL,1634715552,7.6244,-11.8332,24.59,94,100,0.24
259,tubmanburg,LR,1634715553,6.8708,-10.8172,24.62,93,100,0.25
260,north bend,US,1634715555,43.4065,-124.2243,12.26,99,90,2.06
261,mbandaka,CD,1634715556,0.0487,18.2603,22.29,96,100,2.78
262,manitouwadge,CA,1634715558,49.1215,-85.8403,6.4,79,100,4.57
263,rio negrinho,BR,1634715433,-26.2544,-49.5183,11.08,98,85,1.31
264,baker city,US,1634715560,44.7749,-117.8344,13.66,56,1,5.66
265,sonoita,MX,1634715561,31.85,-112.8333,17.52,67,0,0.73
266,lehututu,BW,1634715562,-23.9667,21.8667,22.41,42,11,8.42
267,mataruska banja,RS,1634715564,43.6901,20.6109,3.97,100,90,1.03
268,sawakin,SD,1634715429,19.1059,37.3321,31.36,54,73,5.34
269,leh,IN,1634715353,34.1667,77.5833,9.85,25,0,1.96
270,hallein,AT,1634715566,47.6833,13.1,15.08,62,0,6.17
271,iglesias,IT,1634715568,39.3114,8.535,12.68,62,2,2.04
272,bani,DO,1634715569,18.2833,-70.3333,26.03,85,44,2.84
273,ostrovnoy,RU,1634715570,68.0531,39.5131,-1.03,80,24,4.93
274,bandarbeyla,SO,1634715572,9.4942,50.8122,29.43,57,26,5.32
275,gravdal,NO,1634715574,68.1214,13.5031,3.82,93,75,8.75
276,sao joao da barra,BR,1634715576,-21.6403,-41.0511,18.72,93,100,9.37
277,kangaatsiaq,GL,1634715578,68.3065,-53.4641,0.81,70,100,6.97
278,boddam,GB,1634715581,57.4667,-1.7833,10.21,74,6,7.79
279,kenai,US,1634715582,60.5544,-151.2583,3.97,96,90,1.54
280,maridi,SS,1634715584,4.9158,29.4742,21.71,94,100,1.99
281,gweta,BW,1634715586,-20.1833,25.2333,23.31,47,0,5.95
282,una,IN,1634715352,20.8167,71.0333,29.79,51,2,3.58
283,grand-santi,GF,1634715589,4.25,-54.3833,21.83,100,100,0.78
284,kudymkar,RU,1634715590,59.0173,54.656,1.39,76,100,2.27
285,klaksvik,FO,1634715593,62.2266,-6.589,2.51,74,100,15.47
